Implementation, query, optimization, repetitions, stddev, time
Indexed Algebra, scripts/hugejoin/queries/10.sql, Simplify Expressions, 1000, 0.454835, 3.03839
Indexed Algebra, scripts/hugejoin/queries/10.sql, Unnesting, 1000, 0.173621, 5.18441
Indexed Algebra, scripts/hugejoin/queries/10.sql, Predicate Pushdown, 1000, 2.1274, 34.9342
Indexed Algebra, scripts/hugejoin/queries/10.sql, Side-way Information Passing, 1000, 0.00189101, 0.02581
Indexed Algebra, scripts/hugejoin/queries/10.sql, Cardinality Estimation, 1000, 1.01225, 7.53942
Indexed Algebra, scripts/hugejoin/queries/10.sql, Join Ordering, 1000, 2.46669, 45.8292
Indexed Algebra, scripts/hugejoin/queries/10.sql, Common Subtree Elimination, 1000, 0.00311303, 0.029245
Indexed Algebra, scripts/hugejoin/queries/10.sql, Physical Planning, 1000, 1.04382, 16.7982
Indexed Algebra, scripts/hugejoin/queries/10.sql, Total, 1000, 6.35079, 113.767
Indexed Algebra, scripts/hugejoin/queries/20.sql, Simplify Expressions, 1000, 0.276513, 5.06312
Indexed Algebra, scripts/hugejoin/queries/20.sql, Unnesting, 1000, 0.35567, 10.8894
Indexed Algebra, scripts/hugejoin/queries/20.sql, Predicate Pushdown, 1000, 1.17434, 58.5853
Indexed Algebra, scripts/hugejoin/queries/20.sql, Side-way Information Passing, 1000, 0.00130079, 0.026044
Indexed Algebra, scripts/hugejoin/queries/20.sql, Cardinality Estimation, 1000, 0.67264, 12.8738
Indexed Algebra, scripts/hugejoin/queries/20.sql, Join Ordering, 1000, 1.66131, 86.3718
Indexed Algebra, scripts/hugejoin/queries/20.sql, Common Subtree Elimination, 1000, 0.00410725, 0.029227
Indexed Algebra, scripts/hugejoin/queries/20.sql, Physical Planning, 1000, 0.870262, 40.6411
Indexed Algebra, scripts/hugejoin/queries/20.sql, Total, 1000, 3.23395, 214.778
Indexed Algebra, scripts/hugejoin/queries/30.sql, Simplify Expressions, 1000, 1.24204, 6.9974
Indexed Algebra, scripts/hugejoin/queries/30.sql, Unnesting, 1000, 1.24461, 15.6618
Indexed Algebra, scripts/hugejoin/queries/30.sql, Predicate Pushdown, 1000, 7.37706, 81.6876
Indexed Algebra, scripts/hugejoin/queries/30.sql, Side-way Information Passing, 1000, 0.00371935, 0.02768
Indexed Algebra, scripts/hugejoin/queries/30.sql, Cardinality Estimation, 1000, 1.20191, 17.9772
Indexed Algebra, scripts/hugejoin/queries/30.sql, Join Ordering, 1000, 8.17757, 130.565
Indexed Algebra, scripts/hugejoin/queries/30.sql, Common Subtree Elimination, 1000, 0.00291454, 0.029574
Indexed Algebra, scripts/hugejoin/queries/30.sql, Physical Planning, 1000, 3.38308, 56.4918
Indexed Algebra, scripts/hugejoin/queries/30.sql, Total, 1000, 21.6792, 317.122
Indexed Algebra, scripts/hugejoin/queries/40.sql, Simplify Expressions, 1000, 2.55035, 9.54677
Indexed Algebra, scripts/hugejoin/queries/40.sql, Unnesting, 1000, 3.83091, 21.0569
Indexed Algebra, scripts/hugejoin/queries/40.sql, Predicate Pushdown, 1000, 19.4287, 107.96
Indexed Algebra, scripts/hugejoin/queries/40.sql, Side-way Information Passing, 1000, 0.00434634, 0.026427
Indexed Algebra, scripts/hugejoin/queries/40.sql, Cardinality Estimation, 1000, 4.54993, 24.234
Indexed Algebra, scripts/hugejoin/queries/40.sql, Join Ordering, 1000, 27.1579, 183.011
Indexed Algebra, scripts/hugejoin/queries/40.sql, Common Subtree Elimination, 1000, 0.00502421, 0.030964
Indexed Algebra, scripts/hugejoin/queries/40.sql, Physical Planning, 1000, 14.7687, 90.2172
Indexed Algebra, scripts/hugejoin/queries/40.sql, Total, 1000, 63.7117, 447.783
Indexed Algebra, scripts/hugejoin/queries/50.sql, Simplify Expressions, 1000, 3.21367, 12.2774
Indexed Algebra, scripts/hugejoin/queries/50.sql, Unnesting, 1000, 3.42016, 26.1936
Indexed Algebra, scripts/hugejoin/queries/50.sql, Predicate Pushdown, 1000, 18.9019, 131.123
Indexed Algebra, scripts/hugejoin/queries/50.sql, Side-way Information Passing, 1000, 0.0023971, 0.026333
Indexed Algebra, scripts/hugejoin/queries/50.sql, Cardinality Estimation, 1000, 3.61919, 29.356
Indexed Algebra, scripts/hugejoin/queries/50.sql, Join Ordering, 1000, 21.2191, 231.802
Indexed Algebra, scripts/hugejoin/queries/50.sql, Common Subtree Elimination, 1000, 0.00428706, 0.031991
Indexed Algebra, scripts/hugejoin/queries/50.sql, Physical Planning, 1000, 12.2837, 108.621
Indexed Algebra, scripts/hugejoin/queries/50.sql, Total, 1000, 47.0675, 546.563
Indexed Algebra, scripts/hugejoin/queries/60.sql, Simplify Expressions, 1000, 2.69403, 13.147
Indexed Algebra, scripts/hugejoin/queries/60.sql, Unnesting, 1000, 2.85635, 30.0754
Indexed Algebra, scripts/hugejoin/queries/60.sql, Predicate Pushdown, 1000, 20.3835, 152.492
Indexed Algebra, scripts/hugejoin/queries/60.sql, Side-way Information Passing, 1000, 0.00240105, 0.026288
Indexed Algebra, scripts/hugejoin/queries/60.sql, Cardinality Estimation, 1000, 4.39998, 34.8852
Indexed Algebra, scripts/hugejoin/queries/60.sql, Join Ordering, 1000, 22.5263, 287.225
Indexed Algebra, scripts/hugejoin/queries/60.sql, Common Subtree Elimination, 1000, 0.00429693, 0.03172
Indexed Algebra, scripts/hugejoin/queries/60.sql, Physical Planning, 1000, 12.8552, 136.133
