Method, execution, compilation, total
Indexed Algebra,0.000318,0.000222,0.00054
Indexed Algebra,0.000237,0.000522,0.000759
Indexed Algebra,0.000397,0.000291,0.000688
Indexed Algebra,0.000272,0.000182,0.000454
Indexed Algebra,0.000384,0.000434,0.000818
Indexed Algebra,0.000175,0.000115,0.00029
Indexed Algebra,0.000354,0.000473,0.000827
Indexed Algebra,0.000303,0.000501,0.000804
Indexed Algebra,0.001153,0.000504,0.001657
Indexed Algebra,0.000826,0.000337,0.001163
Indexed Algebra,0.000671,0.000366,0.001037
Indexed Algebra,0.000349,0.000236,0.000585
Indexed Algebra,0.000690,0.000208,0.000898
Indexed Algebra,0.000184,0.000189,0.000373
Indexed Algebra,0.000495,0.000280,0.000775
Indexed Algebra,0.001331,0.000319,0.00165
Indexed Algebra,0.000612,0.000287,0.000899
Indexed Algebra,0.000868,0.000340,0.001208
Indexed Algebra,0.000252,0.000395,0.000647
Indexed Algebra,0.000231,0.000486,0.000717
Indexed Algebra,0.000308,0.000505,0.000813
Indexed Algebra,0.000404,0.000298,0.000702
Column Sets,0.000304,0.000239,0.000543
Column Sets,0.000234,0.000602,0.000836
Column Sets,0.000405,0.000319,0.000724
Column Sets,0.000267,0.000194,0.000461
Column Sets,0.000393,0.000494,0.000887
Column Sets,0.000175,0.000124,0.000299
Column Sets,0.000352,0.000550,0.000902
Column Sets,0.000305,0.000621,0.000926
Column Sets,0.001145,0.000591,0.001736
Column Sets,0.000829,0.000380,0.001209
Column Sets,0.000671,0.000385,0.001056
Column Sets,0.000338,0.000259,0.000597
Column Sets,0.000688,0.000215,0.000903
Column Sets,0.000193,0.000209,0.000402
Column Sets,0.000488,0.000291,0.000779
Column Sets,0.001328,0.000334,0.001662
Column Sets,0.000608,0.000316,0.000924
Column Sets,0.000865,0.000372,0.001237
Column Sets,0.000254,0.000421,0.000675
Column Sets,0.000229,0.000506,0.000735
Column Sets,0.000305,0.000570,0.000875
Column Sets,0.000395,0.000310,0.000705
