Implementation, query, optimization, repetitions, stddev, time
Indexed Algebra, queries.sql, Simplify Expressions, 100, 1.19736, 4.2128
Indexed Algebra, queries.sql, Unnesting, 100, 0.0553799, 1.32731
Indexed Algebra, queries.sql, Predicate Pushdown, 100, 0.853908, 6.34643
Indexed Algebra, queries.sql, Side-way Information Passing, 100, 0.00153033, 0.03859
Indexed Algebra, queries.sql, Cardinality Estimation, 100, 1.76681, 7.30051
Indexed Algebra, queries.sql, Join Ordering, 100, 0.0372571, 1.47003
Indexed Algebra, queries.sql, Common Subtree Elimination, 100, 0.178329, 1.91239
Indexed Algebra, queries.sql, Physical Planning, 100, 0.0675566, 1.20714
Indexed Algebra, queries.sql, Total, 100, 3.90656, 24.3388
Indexed Algebra, queries.sql, Simplify Expressions, 100, 0.0628818, 2.04404
Indexed Algebra, queries.sql, Unnesting, 100, 0.0190821, 0.58935
Indexed Algebra, queries.sql, Predicate Pushdown, 100, 0.383684, 5.06844
Indexed Algebra, queries.sql, Side-way Information Passing, 100, 0.000709648, 0.03858
Indexed Algebra, queries.sql, Cardinality Estimation, 100, 0.376683, 6.03923
Indexed Algebra, queries.sql, Join Ordering, 100, 0.0490878, 0.96349
Indexed Algebra, queries.sql, Common Subtree Elimination, 100, 0.140554, 1.35583
Indexed Algebra, queries.sql, Physical Planning, 100, 0.0287346, 0.73468
Indexed Algebra, queries.sql, Total, 100, 0.61468, 17.3076
Indexed Algebra, queries.sql, Simplify Expressions, 100, 0.222963, 4.16585
Indexed Algebra, queries.sql, Unnesting, 100, 0.0362119, 1.62096
Indexed Algebra, queries.sql, Predicate Pushdown, 100, 0.133944, 7.22698
Indexed Algebra, queries.sql, Side-way Information Passing, 100, 0.00103397, 0.03897
Indexed Algebra, queries.sql, Cardinality Estimation, 100, 0.141294, 7.10806
Indexed Algebra, queries.sql, Join Ordering, 100, 0.0515058, 1.49966
Indexed Algebra, queries.sql, Common Subtree Elimination, 100, 0.128818, 1.969
Indexed Algebra, queries.sql, Physical Planning, 100, 0.0188262, 1.22421
Indexed Algebra, queries.sql, Total, 100, 0.521336, 25.3168
Indexed Algebra, queries.sql, Simplify Expressions, 100, 0.0613947, 1.48049
Indexed Algebra, queries.sql, Unnesting, 100, 0.0255371, 1.24429
Indexed Algebra, queries.sql, Predicate Pushdown, 100, 0.0567494, 3.2835
Indexed Algebra, queries.sql, Side-way Information Passing, 100, 0.0017617, 0.03858
Indexed Algebra, queries.sql, Cardinality Estimation, 100, 0.191875, 5.93992
Indexed Algebra, queries.sql, Join Ordering, 100, 0.0631021, 0.92262
Indexed Algebra, queries.sql, Common Subtree Elimination, 100, 0.151409, 1.597
Indexed Algebra, queries.sql, Physical Planning, 100, 0.0929123, 1.45686
Indexed Algebra, queries.sql, Total, 100, 0.40025, 16.4289
Indexed Algebra, queries.sql, Simplify Expressions, 100, 0.10311, 1.53237
Indexed Algebra, queries.sql, Unnesting, 100, 0.0670496, 1.2609
Indexed Algebra, queries.sql, Predicate Pushdown, 100, 0.138504, 3.34491
Indexed Algebra, queries.sql, Side-way Information Passing, 100, 0.000741889, 0.03864
Indexed Algebra, queries.sql, Cardinality Estimation, 100, 0.406283, 6.18839
Indexed Algebra, queries.sql, Join Ordering, 100, 0.0558633, 0.93307
Indexed Algebra, queries.sql, Common Subtree Elimination, 100, 0.0902362, 1.37802
Indexed Algebra, queries.sql, Physical Planning, 100, 0.0561384, 1.45106
Indexed Algebra, queries.sql, Total, 100, 0.673676, 16.5932
Indexed Algebra, queries.sql, Simplify Expressions, 100, 1.40035, 9.56307
Indexed Algebra, queries.sql, Unnesting, 100, 0.0394797, 2.55882
Indexed Algebra, queries.sql, Predicate Pushdown, 100, 0.086734, 6.17363
Indexed Algebra, queries.sql, Side-way Information Passing, 100, 0.000601332, 0.03872
Indexed Algebra, queries.sql, Cardinality Estimation, 100, 0.36722, 7.24822
Indexed Algebra, queries.sql, Join Ordering, 100, 0.0453034, 1.72738
Indexed Algebra, queries.sql, Common Subtree Elimination, 100, 0.0306523, 1.41683
Indexed Algebra, queries.sql, Physical Planning, 100, 1.69507, 1.56515
Indexed Algebra, queries.sql, Total, 100, 2.40854, 30.7634
Indexed Algebra, queries.sql, Simplify Expressions, 100, 0.136577, 3.68698
Indexed Algebra, queries.sql, Unnesting, 100, 0.0385788, 1.555
Indexed Algebra, queries.sql, Predicate Pushdown, 100, 0.125252, 4.15687
Indexed Algebra, queries.sql, Side-way Information Passing, 100, 0.00147973, 0.03852
Indexed Algebra, queries.sql, Cardinality Estimation, 100, 0.822582, 15.5396
Indexed Algebra, queries.sql, Join Ordering, 100, 0.0358035, 1.43287
Indexed Algebra, queries.sql, Common Subtree Elimination, 100, 0.0542403, 1.32422
Indexed Algebra, queries.sql, Physical Planning, 100, 0.0362564, 1.15485
Indexed Algebra, queries.sql, Total, 100, 1.07368, 29.3445
Indexed Algebra, queries.sql, Simplify Expressions, 100, 0.824867, 14.1201
Indexed Algebra, queries.sql, Unnesting, 100, 0.0307978, 3.36405
Indexed Algebra, queries.sql, Predicate Pushdown, 100, 0.499479, 10.7618
Indexed Algebra, queries.sql, Side-way Information Passing, 100, 0.000523355, 0.03881
Indexed Algebra, queries.sql, Cardinality Estimation, 100, 0.944147, 8.77217
Indexed Algebra, queries.sql, Join Ordering, 100, 0.752467, 3.72706
Indexed Algebra, queries.sql, Common Subtree Elimination, 100, 0.108442, 2.22227
Indexed Algebra, queries.sql, Physical Planning, 100, 0.0736441, 3.18089
Indexed Algebra, queries.sql, Total, 100, 1.79575, 46.6615
Indexed Algebra, queries.sql, Simplify Expressions, 100, 0.432954, 14.9978
Indexed Algebra, queries.sql, Unnesting, 100, 0.353747, 3.39973
Indexed Algebra, queries.sql, Predicate Pushdown, 100, 0.609926, 10.3631
Indexed Algebra, queries.sql, Side-way Information Passing, 100, 0.000775629, 0.03872
Indexed Algebra, queries.sql, Cardinality Estimation, 100, 0.32079, 9.08191
Indexed Algebra, queries.sql, Join Ordering, 100, 0.128549, 3.58426
Indexed Algebra, queries.sql, Common Subtree Elimination, 100, 0.0733303, 2.1808
Indexed Algebra, queries.sql, Physical Planning, 100, 0.611755, 3.20537
Indexed Algebra, queries.sql, Total, 100, 1.24616, 47.3252
Indexed Algebra, queries.sql, Simplify Expressions, 100, 0.157562, 2.68737
Indexed Algebra, queries.sql, Unnesting, 100, 0.097645, 1.06667
Indexed Algebra, queries.sql, Predicate Pushdown, 100, 0.219987, 6.04375
Indexed Algebra, queries.sql, Side-way Information Passing, 100, 0.00249592, 0.03848
Indexed Algebra, queries.sql, Cardinality Estimation, 100, 0.0785419, 1.84151
Indexed Algebra, queries.sql, Join Ordering, 100, 0.0201114, 0.6405
Indexed Algebra, queries.sql, Common Subtree Elimination, 100, 0.0360344, 0.51123
Indexed Algebra, queries.sql, Physical Planning, 100, 0.0130145, 0.15911
Indexed Algebra, queries.sql, Total, 100, 0.293205, 13.4325
Indexed Algebra, queries.sql, Simplify Expressions, 100, 0.13776, 2.71175
Indexed Algebra, queries.sql, Unnesting, 100, 0.338708, 1.07873
Indexed Algebra, queries.sql, Predicate Pushdown, 100, 0.233149, 6.0178
Indexed Algebra, queries.sql, Side-way Information Passing, 100, 0.00314088, 0.03857
Indexed Algebra, queries.sql, Cardinality Estimation, 100, 0.0781001, 1.83124
Indexed Algebra, queries.sql, Join Ordering, 100, 0.0225826, 0.63819
Indexed Algebra, queries.sql, Common Subtree Elimination, 100, 0.0536502, 0.51682
Indexed Algebra, queries.sql, Physical Planning, 100, 0.00978129, 0.15992
Indexed Algebra, queries.sql, Total, 100, 0.467058, 13.4348
