Implementation, query, optimization, repetitions, stddev, time
Indexed Algebra, temptable.sql, Simplify Expressions, 1, 0, 4.892
Indexed Algebra, temptable.sql, Unnesting, 1, 0, 2.898
Indexed Algebra, temptable.sql, Predicate Pushdown, 1, 0, 2.823
Indexed Algebra, temptable.sql, Side-way Information Passing, 1, 0, 5.438
Indexed Algebra, temptable.sql, Cardinality Estimation, 1, 0, 151.471
Indexed Algebra, temptable.sql, Join Ordering, 1, 0, 3.074
Indexed Algebra, temptable.sql, Common Subtree Elimination, 1, 0, 4.124
Indexed Algebra, temptable.sql, Physical Planning, 1, 0, 2.805
Indexed Algebra, temptable.sql, Total, 1, 0, 178.012
Indexed Algebra, queries/6.sql, Simplify Expressions, 1, 0, 14.317
Indexed Algebra, queries/6.sql, Unnesting, 1, 0, 4.57
Indexed Algebra, queries/6.sql, Predicate Pushdown, 1, 0, 55.798
Indexed Algebra, queries/6.sql, Side-way Information Passing, 1, 0, 13.938
Indexed Algebra, queries/6.sql, Cardinality Estimation, 1, 0, 28.364
Indexed Algebra, queries/6.sql, Join Ordering, 1, 0, 90.119
Indexed Algebra, queries/6.sql, Common Subtree Elimination, 1, 0, 26.864
Indexed Algebra, queries/6.sql, Physical Planning, 1, 0, 19.434
Indexed Algebra, queries/6.sql, Total, 1, 0, 253.907
Indexed Algebra, queries/6.sql, Simplify Expressions, 1, 0, 4.463
Indexed Algebra, queries/6.sql, Unnesting, 1, 0, 5.563
Indexed Algebra, queries/6.sql, Predicate Pushdown, 1, 0, 47.74
Indexed Algebra, queries/6.sql, Side-way Information Passing, 1, 0, 8.713
Indexed Algebra, queries/6.sql, Cardinality Estimation, 1, 0, 16.171
Indexed Algebra, queries/6.sql, Join Ordering, 1, 0, 64.829
Indexed Algebra, queries/6.sql, Common Subtree Elimination, 1, 0, 24.672
Indexed Algebra, queries/6.sql, Physical Planning, 1, 0, 15.322
Indexed Algebra, queries/6.sql, Total, 1, 0, 188.135
Indexed Algebra, queries/6.sql, Simplify Expressions, 1, 0, 4.039
Indexed Algebra, queries/6.sql, Unnesting, 1, 0, 5.528
Indexed Algebra, queries/6.sql, Predicate Pushdown, 1, 0, 45.903
Indexed Algebra, queries/6.sql, Side-way Information Passing, 1, 0, 8.355
Indexed Algebra, queries/6.sql, Cardinality Estimation, 1, 0, 15.996
Indexed Algebra, queries/6.sql, Join Ordering, 1, 0, 63.847
Indexed Algebra, queries/6.sql, Common Subtree Elimination, 1, 0, 23.63
Indexed Algebra, queries/6.sql, Physical Planning, 1, 0, 14.053
Indexed Algebra, queries/6.sql, Total, 1, 0, 181.992
Indexed Algebra, queries/7.sql, Simplify Expressions, 1, 0, 3.696
Indexed Algebra, queries/7.sql, Unnesting, 1, 0, 5.053
Indexed Algebra, queries/7.sql, Predicate Pushdown, 1, 0, 43.065
Indexed Algebra, queries/7.sql, Side-way Information Passing, 1, 0, 7.477
Indexed Algebra, queries/7.sql, Cardinality Estimation, 1, 0, 14.447
Indexed Algebra, queries/7.sql, Join Ordering, 1, 0, 61.01
Indexed Algebra, queries/7.sql, Common Subtree Elimination, 1, 0, 16.795
Indexed Algebra, queries/7.sql, Physical Planning, 1, 0, 19.275
Indexed Algebra, queries/7.sql, Total, 1, 0, 175.396
Indexed Algebra, queries/7.sql, Simplify Expressions, 1, 0, 3.758
Indexed Algebra, queries/7.sql, Unnesting, 1, 0, 4.978
Indexed Algebra, queries/7.sql, Predicate Pushdown, 1, 0, 42.39
Indexed Algebra, queries/7.sql, Side-way Information Passing, 1, 0, 7.773
Indexed Algebra, queries/7.sql, Cardinality Estimation, 1, 0, 14.21
Indexed Algebra, queries/7.sql, Join Ordering, 1, 0, 59.421
Indexed Algebra, queries/7.sql, Common Subtree Elimination, 1, 0, 16.67
Indexed Algebra, queries/7.sql, Physical Planning, 1, 0, 18.802
Indexed Algebra, queries/7.sql, Total, 1, 0, 172.56
Indexed Algebra, queries/7.sql, Simplify Expressions, 1, 0, 3.665
Indexed Algebra, queries/7.sql, Unnesting, 1, 0, 5.081
Indexed Algebra, queries/7.sql, Predicate Pushdown, 1, 0, 42.526
Indexed Algebra, queries/7.sql, Side-way Information Passing, 1, 0, 7.579
Indexed Algebra, queries/7.sql, Cardinality Estimation, 1, 0, 14.117
Indexed Algebra, queries/7.sql, Join Ordering, 1, 0, 59.534
Indexed Algebra, queries/7.sql, Common Subtree Elimination, 1, 0, 17.631
Indexed Algebra, queries/7.sql, Physical Planning, 1, 0, 18.853
Indexed Algebra, queries/7.sql, Total, 1, 0, 173.528
Indexed Algebra, queries/8.sql, Simplify Expressions, 1, 0, 3.725
Indexed Algebra, queries/8.sql, Unnesting, 1, 0, 5.465
Indexed Algebra, queries/8.sql, Predicate Pushdown, 1, 0, 47.339
Indexed Algebra, queries/8.sql, Side-way Information Passing, 1, 0, 8.202
Indexed Algebra, queries/8.sql, Cardinality Estimation, 1, 0, 16.708
Indexed Algebra, queries/8.sql, Join Ordering, 1, 0, 70.321
Indexed Algebra, queries/8.sql, Common Subtree Elimination, 1, 0, 22.49
Indexed Algebra, queries/8.sql, Physical Planning, 1, 0, 15.33
Indexed Algebra, queries/8.sql, Total, 1, 0, 192.142
Indexed Algebra, queries/8.sql, Simplify Expressions, 1, 0, 3.843
Indexed Algebra, queries/8.sql, Unnesting, 1, 0, 5.454
Indexed Algebra, queries/8.sql, Predicate Pushdown, 1, 0, 47.33
